match_id,date,team,opponent,tournament,tournament_category,home_or_away,neutral,goals_for,goals_against,is_world_cup,world_cup_year,year,goal_difference,result,win,draw,loss,points,dominant_win
26432,2002-05-31,France,Senegal,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2002,2002,-1,loss,False,False,True,0,False
26432,2002-05-31,Senegal,France,FIFA World Cup,World Cup (final tournament),away,True,1,0,True,2002,2002,1,win,True,False,False,3,False
26433,2002-06-01,Denmark,Uruguay,FIFA World Cup,World Cup (final tournament),away,True,2,1,True,2002,2002,1,win,True,False,False,3,False
26433,2002-06-01,Uruguay,Denmark,FIFA World Cup,World Cup (final tournament),home,True,1,2,True,2002,2002,-1,loss,False,False,True,0,False
26434,2002-06-01,Germany,Saudi Arabia,FIFA World Cup,World Cup (final tournament),home,True,8,0,True,2002,2002,8,win,True,False,False,3,True
26434,2002-06-01,Saudi Arabia,Germany,FIFA World Cup,World Cup (final tournament),away,True,0,8,True,2002,2002,-8,loss,False,False,True,0,False
26435,2002-06-01,Cameroon,Republic of Ireland,FIFA World Cup,World Cup (final tournament),away,True,1,1,True,2002,2002,0,draw,False,True,False,1,False
26435,2002-06-01,Republic of Ireland,Cameroon,FIFA World Cup,World Cup (final tournament),home,True,1,1,True,2002,2002,0,draw,False,True,False,1,False
26436,2002-06-02,Argentina,Nigeria,FIFA World Cup,World Cup (final tournament),home,True,1,0,True,2002,2002,1,win,True,False,False,3,False
26436,2002-06-02,Nigeria,Argentina,FIFA World Cup,World Cup (final tournament),away,True,0,1,True,2002,2002,-1,loss,False,False,True,0,False
26437,2002-06-02,England,Sweden,FIFA World Cup,World Cup (final tournament),home,True,1,1,True,2002,2002,0,draw,False,True,False,1,False
26437,2002-06-02,Sweden,England,FIFA World Cup,World Cup (final tournament),away,True,1,1,True,2002,2002,0,draw,False,True,False,1,False
26438,2002-06-02,Paraguay,South Africa,FIFA World Cup,World Cup (final tournament),home,True,2,2,True,2002,2002,0,draw,False,True,False,1,False
26438,2002-06-02,South Africa,Paraguay,FIFA World Cup,World Cup (final tournament),away,True,2,2,True,2002,2002,0,draw,False,True,False,1,False
26439,2002-06-02,Slovenia,Spain,FIFA World Cup,World Cup (final tournament),away,True,1,3,True,2002,2002,-2,loss,False,False,True,0,False
26439,2002-06-02,Spain,Slovenia,FIFA World Cup,World Cup (final tournament),home,True,3,1,True,2002,2002,2,win,True,False,False,3,False
26440,2002-06-03,Brazil,Turkey,FIFA World Cup,World Cup (final tournament),home,True,2,1,True,2002,2002,1,win,True,False,False,3,False
26440,2002-06-03,Turkey,Brazil,FIFA World Cup,World Cup (final tournament),away,True,1,2,True,2002,2002,-1,loss,False,False,True,0,False
26441,2002-06-03,Croatia,Mexico,FIFA World Cup,World Cup (final tournament),home,True,0,1,True,2002,2002,-1,loss,False,False,True,0,False
