elo_rank,elo_label,team,elo_rating,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,last_match_date
1,1. Spain,Spain,2114.7,781,460,181,140,1598,701,897,2026-03-31
2,2. Argentina,Argentina,2093.7,1064,588,257,219,2016,1073,943,2026-03-31
3,3. France,France,2064.5,933,476,195,262,1711,1206,505,2026-03-29
4,4. Portugal,Portugal,1985.8,693,347,159,187,1223,776,447,2026-03-31
5,5. England,England,1983.0,1088,623,258,207,2377,1041,1336,2026-03-31
6,6. Brazil,Brazil,1980.0,1057,670,216,171,2297,954,1343,2026-03-31
7,7. Netherlands,Netherlands,1978.5,877,452,198,227,1839,1074,765,2026-03-31
8,8. Germany,Germany,1976.1,1029,597,213,219,2314,1197,1117,2026-03-30
9,9. Colombia,Colombia,1966.3,636,256,176,204,818,735,83,2026-03-29
10,10. Japan,Japan,1951.8,789,389,165,235,1442,910,532,2026-03-31
11,11. Morocco,Morocco,1947.0,614,304,171,139,906,493,413,2026-03-31
12,12. Croatia,Croatia,1937.1,394,208,104,82,686,397,289,2026-03-31
13,13. Ecuador,Ecuador,1923.0,589,181,157,251,712,902,-190,2026-03-31
14,14. Italy,Italy,1913.7,891,475,243,173,1563,876,687,2026-03-31
15,15. Belgium,Belgium,1899.5,851,380,181,290,1543,1290,253,2026-03-31
16,16. Switzerland,Switzerland,1890.5,882,315,203,364,1315,1443,-128,2026-03-31
17,17. Uruguay,Uruguay,1890.3,968,427,239,302,1530,1176,354,2026-03-31
18,18. Denmark,Denmark,1890.1,872,401,184,287,1585,1172,413,2026-03-31
19,19. Turkey,Turkey,1889.8,640,257,152,231,893,903,-10,2026-03-31
20,20. Mexico,Mexico,1881.3,1000,511,231,258,1759,1053,706,2026-03-31
21,21. Norway,Norway,1877.1,870,327,195,348,1347,1414,-67,2026-03-31
22,22. Austria,Austria,1872.7,859,366,184,309,1540,1315,225,2026-03-31
23,23. Senegal,Senegal,1871.8,636,298,168,170,880,596,284,2026-03-31
24,24. Canada,Canada,1843.2,467,178,107,182,605,611,-6,2026-03-31
25,25. Australia,Australia,1840.9,579,296,122,161,1166,617,549,2026-03-31
26,26. United States,United States,1840.3,788,350,161,277,1196,1044,152,2026-03-31
27,27. South Korea,South Korea,1840.0,1005,536,252,217,1786,914,872,2026-03-31
28,28. Iran,Iran,1839.6,610,347,144,119,1150,482,668,2026-03-31
29,29. Algeria,Algeria,1830.3,615,286,162,167,948,613,335,2026-03-31
30,30. Russia,Russia,1826.9,746,383,197,166,1295,734,561,2026-03-31
31,31. Basque Country,Basque Country,1825.6,58,38,11,9,156,76,80,2020-11-16
32,32. Paraguay,Paraguay,1821.1,782,274,208,300,999,1113,-114,2026-03-31
33,33. Serbia,Serbia,1812.4,346,155,89,102,530,374,156,2026-03-31
34,34. Uzbekistan,Uzbekistan,1797.8,352,169,73,110,612,390,222,2026-03-30
35,35. Poland,Poland,1797.4,890,384,224,282,1497,1197,300,2026-03-31
36,36. Ukraine,Ukraine,1792.8,336,151,94,91,472,356,116,2026-03-31
37,37. Sweden,Sweden,1785.4,1099,541,232,326,2168,1416,752,2026-03-31
38,38. Nigeria,Nigeria,1777.7,657,309,191,157,1000,658,342,2026-03-31
39,39. Greece,Greece,1777.5,631,240,154,237,792,875,-83,2026-03-31
40,40. Czech Republic,Czech Republic,1774.4,358,189,72,97,636,366,270,2026-03-31
41,41. Hungary,Hungary,1772.7,1004,470,222,312,2006,1481,525,2026-03-31
42,42. Ivory Coast,Ivory Coast,1768.8,635,324,162,149,1040,633,407,2026-03-31
43,43. Egypt,Egypt,1765.4,754,378,185,191,1223,764,459,2026-03-31
44,44. Jersey,Jersey,1764.5,235,153,20,62,645,285,360,2025-07-18
45,45. Chile,Chile,1764.2,833,315,179,339,1174,1184,-10,2026-03-30
46,46. Scotland,Scotland,1761.5,849,400,182,267,1446,1049,397,2026-03-31
47,47. Venezuela,Venezuela,1760.6,458,116,101,241,480,854,-374,2026-03-30
48,48. Yugoslavia,Yugoslavia,1758.7,483,223,98,162,942,756,186,1992-03-25
49,49. Panama,Panama,1753.7,535,181,132,222,670,813,-143,2026-03-31
50,50. Slovenia,Slovenia,1753.4,315,114,85,116,390,369,21,2026-03-31
51,51. Wales,Wales,1741.7,724,234,164,326,908,1157,-249,2026-03-31
52,52. Catalonia,Catalonia,1737.3,48,19,12,17,75,84,-9,2019-03-25
53,53. Kosovo,Kosovo,1735.4,102,41,23,38,148,137,11,2026-03-31
54,54. Czechoslovakia,Czechoslovakia,1733.6,520,236,119,165,984,721,263,1993-11-17
