elo_rank,elo_label,team,elo_rating,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,last_match_date
1,1. Spain,Spain,2114.7,781,460,181,140,1598,701,897,2026-03-31
2,2. Argentina,Argentina,2093.7,1064,588,257,219,2016,1073,943,2026-03-31
3,3. France,France,2064.5,933,476,195,262,1711,1206,505,2026-03-29
4,4. Portugal,Portugal,1985.8,693,347,159,187,1223,776,447,2026-03-31
5,5. England,England,1983.0,1088,623,258,207,2377,1041,1336,2026-03-31
6,6. Brazil,Brazil,1980.0,1057,670,216,171,2297,954,1343,2026-03-31
7,7. Netherlands,Netherlands,1978.5,877,452,198,227,1839,1074,765,2026-03-31
8,8. Germany,Germany,1976.1,1029,597,213,219,2314,1197,1117,2026-03-30
9,9. Colombia,Colombia,1966.3,636,256,176,204,818,735,83,2026-03-29
10,10. Japan,Japan,1951.8,789,389,165,235,1442,910,532,2026-03-31
