team,world_cup_year,matches_played,wins,draws,losses,goals_scored,goals_conceded,goal_difference,points,dominant_wins,points_per_match
Brazil,2002,7,7,0,0,18,4,14,21,2,3.0
Germany,2002,7,5,1,1,14,3,11,16,1,2.2857142857142856
Turkey,2002,7,4,1,2,10,6,4,13,1,1.8571428571428572
South Korea,2002,7,3,2,2,8,6,2,11,0,1.5714285714285714
Spain,2002,5,3,2,0,10,5,5,11,0,2.2
England,2002,5,2,2,1,6,3,3,8,1,1.6
Senegal,2002,5,2,2,1,7,6,1,8,0,1.6
Denmark,2002,4,2,1,1,5,5,0,7,0,1.75
Japan,2002,4,2,1,1,5,3,2,7,0,1.75
Mexico,2002,4,2,1,1,4,4,0,7,0,1.75
United States,2002,5,2,1,2,7,7,0,7,0,1.4
Republic of Ireland,2002,4,1,3,0,6,3,3,6,1,1.5
Belgium,2002,4,1,2,1,6,7,-1,5,0,1.25
Sweden,2002,4,1,2,1,5,5,0,5,0,1.25
Argentina,2002,3,1,1,1,2,2,0,4,0,1.3333333333333333
Cameroon,2002,3,1,1,1,2,3,-1,4,0,1.3333333333333333
Costa Rica,2002,3,1,1,1,5,6,-1,4,0,1.3333333333333333
Italy,2002,4,1,1,2,5,5,0,4,0,1.0
Paraguay,2002,4,1,1,2,6,7,-1,4,0,1.0
South Africa,2002,3,1,1,1,5,5,0,4,0,1.3333333333333333
Croatia,2002,3,1,0,2,2,3,-1,3,0,1.0
Ecuador,2002,3,1,0,2,2,4,-2,3,0,1.0
Poland,2002,3,1,0,2,3,7,-4,3,0,1.0
Portugal,2002,3,1,0,2,6,4,2,3,1,1.0
Russia,2002,3,1,0,2,4,4,0,3,0,1.0
Uruguay,2002,3,0,2,1,4,5,-1,2,0,0.6666666666666666
France,2002,3,0,1,2,0,3,-3,1,0,0.3333333333333333
Nigeria,2002,3,0,1,2,1,3,-2,1,0,0.3333333333333333
Tunisia,2002,3,0,1,2,1,5,-4,1,0,0.3333333333333333
China PR,2002,3,0,0,3,0,9,-9,0,0,0.0
Saudi Arabia,2002,3,0,0,3,0,12,-12,0,0,0.0
Slovenia,2002,3,0,0,3,2,7,-5,0,0,0.0
Italy,2006,7,5,2,0,12,2,10,17,1,2.4285714285714284
Germany,2006,7,5,1,1,14,6,8,16,1,2.2857142857142856
France,2006,7,4,3,0,9,3,6,15,0,2.142857142857143
Portugal,2006,7,4,1,2,7,5,2,13,0,1.8571428571428572
Brazil,2006,5,4,0,1,10,2,8,12,2,2.4
Argentina,2006,5,3,2,0,11,3,8,11,1,2.2
England,2006,5,3,2,0,6,2,4,11,0,2.2
Spain,2006,4,3,0,1,9,4,5,9,1,2.25
Switzerland,2006,4,2,2,0,4,0,4,8,0,2.0
Netherlands,2006,4,2,1,1,3,2,1,7,0,1.75
Ukraine,2006,5,2,1,2,5,7,-2,7,1,1.4
Ecuador,2006,4,2,0,2,5,4,1,6,1,1.5
Ghana,2006,4,2,0,2,4,6,-2,6,0,1.5
Sweden,2006,4,1,2,1,3,4,-1,5,0,1.25
Australia,2006,4,1,1,2,5,6,-1,4,0,1.0
Mexico,2006,4,1,1,2,5,5,0,4,0,1.0
South Korea,2006,3,1,1,1,3,4,-1,4,0,1.3333333333333333
Czech Republic,2006,3,1,0,2,3,4,-1,3,1,1.0
Ivory Coast,2006,3,1,0,2,5,6,-1,3,0,1.0
Paraguay,2006,3,1,0,2,2,2,0,3,0,1.0
Poland,2006,3,1,0,2,2,4,-2,3,0,1.0
Angola,2006,3,0,2,1,1,2,-1,2,0,0.6666666666666666
Croatia,2006,3,0,2,1,2,3,-1,2,0,0.6666666666666666
Iran,2006,3,0,1,2,2,6,-4,1,0,0.3333333333333333
Japan,2006,3,0,1,2,2,7,-5,1,0,0.3333333333333333
Saudi Arabia,2006,3,0,1,2,2,7,-5,1,0,0.3333333333333333
Trinidad and Tobago,2006,3,0,1,2,0,4,-4,1,0,0.3333333333333333
Tunisia,2006,3,0,1,2,3,6,-3,1,0,0.3333333333333333
United States,2006,3,0,1,2,2,6,-4,1,0,0.3333333333333333
Costa Rica,2006,3,0,0,3,3,9,-6,0,0,0.0
Serbia,2006,3,0,0,3,2,10,-8,0,0,0.0
Togo,2006,3,0,0,3,1,6,-5,0,0,0.0
Netherlands,2010,7,6,0,1,12,6,6,18,0,2.5714285714285716
Spain,2010,7,6,0,1,8,2,6,18,0,2.5714285714285716
Germany,2010,7,5,0,2,16,5,11,15,3,2.142857142857143
