team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate,consistency_score,n_win_rate,n_avg_goal_diff,n_points_per_match,n_dominant_win_rate,n_consistency,dominance_index
Brazil,1057,670,216,171,2297,954,1343,2226,251,0.6338694418164617,0.2043519394512772,0.16177861873226113,1.2705771050141912,2.173131504257332,0.902554399243141,2.1059602649006623,0.23746452223273415,0.8795318268877091,1.0,1.0,1.0,1.0,0.8795318268877091,100.0
Spain,781,460,181,140,1598,701,897,1561,165,0.58898847631242,0.23175416133162613,0.1792573623559539,1.148527528809219,2.0460947503201026,0.8975672215108835,1.9987195902688861,0.2112676056338028,0.7288149857606777,0.9150774802986484,0.96213480253279,0.9351764465455392,0.8833418001417217,0.7288149857606777,92.6944142224265
England,1088,623,258,207,2377,1041,1336,2127,252,0.5726102941176471,0.23713235294117646,0.19025735294117646,1.2279411764705883,2.1847426470588234,0.9568014705882353,1.9549632352941178,0.23161764705882354,0.5547063214196695,0.8840871376336119,0.9867724419559631,0.9087271312515192,0.9739631215754493,0.5547063214196695,91.44851444739066
Germany,1029,597,213,219,2314,1197,1117,2004,216,0.5801749271137027,0.20699708454810495,0.21282798833819241,1.0855199222546161,2.248785228377065,1.163265306122449,1.9475218658892128,0.2099125364431487,0.7750620608773636,0.8984007266445965,0.9425870454793811,0.904229061754572,0.877307504774626,0.7750620608773636,91.21598733590335
Netherlands,877,452,198,227,1839,1074,765,1554,172,0.5153933865450399,0.22576966932725198,0.2588369441277081,0.8722919042189282,2.096921322690992,1.2246294184720639,1.7719498289623716,0.1961231470923603,1.0,0.7758228900619418,0.876434247087819,0.7981013880905038,0.8159016010403863,1.0,85.4439270314233
Argentina,1064,588,257,219,2016,1073,943,2021,183,0.5526315789473685,0.24154135338345864,0.20582706766917294,0.8862781954887218,1.894736842105263,1.0084586466165413,1.8994360902255638,0.17199248120300753,0.7025855259633779,0.8462839662089043,0.8807734156227038,0.8751627503029267,0.7084446782608448,0.7025855259633779,84.90940164083109
Iran,610,347,144,119,1150,482,668,1185,115,0.5688524590163935,0.2360655737704918,0.19508196721311474,1.0950819672131147,1.8852459016393444,0.7901639344262295,1.9426229508196722,0.1885245901639344,0.11039849769947602,0.8769766661489488,0.9455536163746036,0.9012678244817776,0.7820642610830962,0.11039849769947602,83.21415460586968
South Korea,1005,536,252,217,1786,914,872,1860,168,0.5333333333333333,0.2507462686567164,0.21592039800995025,0.8676616915422886,1.7771144278606965,0.909452736318408,1.8507462686567164,0.16716417910447762,0.2864395999064469,0.8097683604291703,0.8749977495368427,0.8457313124460343,0.6869436352255196,0.2864395999064469,78.82683079473509
Croatia,394,208,104,82,686,397,289,728,61,0.5279187817258884,0.2639593908629442,0.20812182741116753,0.733502538071066,1.7411167512690355,1.0076142131979695,1.8477157360406091,0.1548223350253807,0.4093445036977304,0.7995230958633752,0.83337562354363,0.8438994525317782,0.6319838346031161,0.4093445036977304,77.82885016036441
Portugal,693,347,159,187,1223,776,447,1200,119,0.5007215007215007,0.22943722943722944,0.2698412698412698,0.645021645021645,1.7647907647907648,1.1197691197691197,1.7316017316017316,0.1717171717171717,0.6178733822044886,0.7480611541252833,0.8059249220207934,0.7737122553754785,0.7072186901221176,0.6178733822044886,76.81596587461452
Russia,746,383,197,166,1295,734,561,1346,121,0.5134048257372654,0.2640750670241287,0.2225201072386059,0.7520107238605898,1.7359249329758712,0.9839142091152815,1.804289544235925,0.16219839142091153,0.3528351083707675,0.772060190385609,0.8391176845279563,0.8176497103006669,0.6648303514023821,0.3528351083707675,76.57869729728642
Italy,891,475,243,173,1563,876,687,1668,115,0.5331088664421998,0.2727272727272727,0.1941638608305275,0.7710437710437711,1.754208754208754,0.9831649831649831,1.872053872053872,0.12906846240179573,0.30005935907774467,0.8093436303956136,0.8450225808201282,0.8586110763280184,0.5172985658883478,0.30005935907774467,76.57028455362652
Australia,579,296,122,161,1166,617,549,1010,110,0.5112262521588946,0.21070811744386875,0.27806563039723664,0.9481865284974094,2.0138169257340244,1.0656303972366148,1.7443868739205526,0.18998272884283246,0.10007672519213531,0.7679379538082035,0.8999801292150797,0.7814404644656645,0.7885575379838944,0.10007672519213531,76.26670141424859
Mexico,1000,511,231,258,1759,1053,706,1764,154,0.511,0.231,0.258,0.706,1.759,1.053,1.764,0.154,0.41513064177052195,0.7675098457404421,0.8248431151376897,0.7932959710743801,0.6283218721970047,0.41513064177052195,75.52540170452403
Ivory Coast,635,324,162,149,1040,633,407,1134,94,0.510236220472441,0.2551181102362205,0.2346456692913386,0.6409448818897637,1.6377952755905512,0.9968503937007874,1.7858267716535432,0.14803149606299212,0.42997317999239765,0.7660646432754733,0.8046601290914308,0.8064895555410945,0.60174336542851,0.42997317999239765,75.0702842880948
Sweden,1099,541,232,326,2168,1416,752,1855,187,0.49226569608735216,0.2111010009099181,0.2966333030027298,0.6842584167424932,1.97270245677889,1.2884440400363968,1.6878980891719746,0.17015468607825296,0.4995186220137899,0.7320613148266034,0.818097910697875,0.7472948031268095,0.7002607429433985,0.4995186220137899,74.93369689717613
Japan,789,389,165,235,1442,910,532,1332,151,0.49302915082382764,0.20912547528517111,0.29784537389100124,0.6742712294043093,1.8276299112801013,1.1533586818757922,1.688212927756654,0.19138149556400508,0.38132758078338985,0.7335059027308808,0.8149994417604061,0.7474851129686075,0.794786424009371,0.38132758078338985,74.61210078695066
France,933,476,195,262,1711,1206,505,1623,140,0.5101822079314041,0.2090032154340836,0.2808145766345123,0.5412647374062165,1.8338692390139335,1.292604501607717,1.7395498392282958,0.15005359056806003,0.5124354480976364,0.765962442241498,0.7737349225336405,0.7785166318992319,0.6107480093152704,0.5124354480976364,74.04955390123207
Czech Republic,358,189,72,97,636,366,270,639,62,0.5279329608938548,0.2011173184357542,0.2709497206703911,0.7541899441340782,1.776536312849162,1.0223463687150838,1.7849162011173185,0.17318435754189945,0.0,0.7995499252922312,0.8397937754128735,0.80593914481278,0.7137522551133999,0.0,73.58823190031083
Morocco,614,304,171,139,906,493,413,1083,87,0.495114006514658,0.2785016286644951,0.2263843648208469,0.6726384364820847,1.47557003257329,0.8029315960912052,1.763843648208469,0.14169381107491857,0.20046023719924946,0.7374508089175151,0.8144928769008997,0.7932014614235334,0.5735208485080396,0.20046023719924946,71.97189985415822
China PR,700,338,153,209,1283,767,516,1167,134,0.4828571428571429,0.21857142857142858,0.2985714285714286,0.7371428571428571,1.832857142857143,1.0957142857142856,1.667142857142857,0.19142857142857142,0.0,0.7142587110260744,0.8345050121476963,0.7347489300472254,0.7949960588187328,0.0,70.76649562471137
Uzbekistan,352,169,73,110,612,390,222,580,68,0.48011363636363635,0.20738636363636365,0.3125,0.6306818181818182,1.7386363636363635,1.1079545454545454,1.6477272727272727,0.19318181818181818,0.0,0.7090675240355759,0.8014760710553155,0.7230128310480841,0.8028034894897714,0.0,69.24021944809049
Egypt,754,378,185,191,1223,764,459,1319,103,0.5013262599469496,0.2453580901856764,0.253315649867374,0.6087533156498673,1.6220159151193634,1.013262599469496,1.7493368700265253,0.13660477453580902,0.0,0.7492054627795419,0.7946728759574638,0.7844325785891225,0.5508587218633435,0.0,68.92350606249575
Senegal,636,298,168,170,880,596,284,1062,62,0.46855345911949686,0.2641509433962264,0.2672955974842767,0.44654088050314467,1.3836477987421383,0.9371069182389937,1.669811320754717,0.09748427672955975,0.559169085047441,0.6871936768769593,0.7443473764395278,0.7363619308435989,0.37665017199824474,0.559169085047441,68.63595867949563
Ghana,669,311,174,184,1051,697,354,1107,87,0.4648729446935725,0.2600896860986547,0.2750373692077728,0.5291479820627802,1.5710014947683109,1.0418535127055306,1.654708520179372,0.13004484304932734,0.2998616950317369,0.6802295094323323,0.7699757670493923,0.7272327715598709,0.521646513032713,0.2998616950317369,68.00389015682651
Denmark,872,401,184,287,1585,1172,413,1387,137,0.4598623853211009,0.21100917431192662,0.3291284403669725,0.4736238532110092,1.8176605504587156,1.3440366972477065,1.5905963302752293,0.15711009174311927,0.3002169084386037,0.6707486677827651,0.7527497170413509,0.6884790059424519,0.6421715060948043,0.3002169084386037,67.29643226195364
Belgium,851,380,181,290,1543,1290,253,1321,125,0.44653349001175086,0.21269095182138661,0.3407755581668625,0.2972972972972973,1.8131609870740306,1.5158636897767332,1.5522914218566393,0.14688601645123384,0.6127093742606357,0.6455281012955401,0.6980453906029462,0.6653249155101921,0.5966423990999944,0.6127093742606357,66.97460623525592
Nigeria,657,309,191,157,1000,658,342,1118,84,0.4703196347031963,0.2907153729071537,0.2389649923896499,0.5205479452054794,1.5220700152207,1.0015220700152208,1.7016742770167428,0.1278538812785388,0.11311521363801086,0.6905355853924803,0.7673076537797477,0.7556220674994024,0.511889881744704,0.11311521363801086,66.93891552836966
Iraq,652,303,187,162,1003,606,397,1096,88,0.4647239263803681,0.28680981595092025,0.24846625766871167,0.6088957055214724,1.5383435582822085,0.9294478527607362,1.6809815950920246,0.13496932515337423,0.0,0.6799475411079695,0.7947170516176612,0.7431140039547736,0.5435758578593424,0.0,66.54514583530128
Algeria,615,286,162,167,948,613,335,1020,82,0.46504065040650405,0.2634146341463415,0.27154471544715447,0.5447154471544715,1.5414634146341464,0.9967479674796748,1.6585365853658536,0.13333333333333333,0.07862640874931552,0.6805468375368084,0.7748054859070049,0.7295467143721023,0.5362905783117248,0.07862640874931552,66.15897090759346
Hungary,1004,470,222,312,2006,1481,525,1632,168,0.4681274900398406,0.22111553784860558,0.3107569721115538,0.5229083665338645,1.99800796812749,1.4750996015936255,1.6254980079681276,0.16733067729083664,0.0,0.6863876699839921,0.7680399612771127,0.709575952388792,0.6876850728152054,0.0,66.13809656085569
Saudi Arabia,738,350,169,219,1134,775,359,1219,108,0.4742547425474255,0.22899728997289973,0.2967479674796748,0.48644986449864497,1.5365853658536586,1.0501355013550135,1.651761517615176,0.14634146341463414,0.058238810688433236,0.6979814874508575,0.7567289152100308,0.7254514028869626,0.5942174352025382,0.058238810688433236,66.03889742231416
Costa Rica,722,316,178,228,1237,852,385,1126,109,0.4376731301939058,0.24653739612188366,0.3157894736842105,0.5332409972299169,1.7132963988919667,1.18005540166205,1.559556786703601,0.15096952908587258,0.17518026266951894,0.6287627738846524,0.7712456020816717,0.6697165958883725,0.6148267999723828,0.17518026266951894,65.20208377575648
Uruguay,968,427,239,302,1530,1176,354,1520,112,0.44111570247933884,0.246900826446281,0.3119834710743802,0.365702479338843,1.5805785123966942,1.2148760330578512,1.5702479338842976,0.11570247933884298,0.46886856503855817,0.6352767138021591,0.7192677152215388,0.676179051977324,0.4577781441787214,0.46886856503855817,65.03887078576348
Czechoslovakia,520,236,119,165,984,721,263,827,83,0.45384615384615384,0.22884615384615384,0.3173076923076923,0.5057692307692307,1.8923076923076922,1.3865384615384615,1.5903846153846153,0.1596153846153846,0.0,0.6593649212385184,0.7627226403955123,0.6883510310712014,0.6533278937365534,0.0,64.54716399452224
Scotland,849,400,182,267,1446,1049,397,1382,121,0.4711425206124853,0.2143698468786808,0.31448763250883394,0.46760895170789163,1.7031802120141342,1.2355712603062425,1.6277974087161367,0.1425206124852768,0.0,0.692092627315682,0.7508836275370427,0.7109658665031295,0.5772027002942385,0.0,64.54083097139531
South Africa,477,213,144,120,648,454,194,783,48,0.44654088050314467,0.3018867924528302,0.25157232704402516,0.40670859538784065,1.3584905660377358,0.9517819706498952,1.6415094339622642,0.10062893081761007,0.296345316194745,0.6455420853786351,0.731989633067046,0.7192543466396383,0.3906537164117079,0.296345316194745,64.52774309586158
Zambia,793,358,203,232,1234,851,383,1277,101,0.4514501891551072,0.25598991172761665,0.29255989911727615,0.48297604035308955,1.5561160151324085,1.073139974779319,1.610340479192938,0.1273644388398487,0.0,0.6548313432195512,0.7556511807243583,0.7004137116609173,0.5097103323455903,0.0,63.14041721811058
Suriname,399,173,93,133,750,565,185,612,69,0.43358395989974935,0.23308270676691728,0.3333333333333333,0.46365914786967416,1.8796992481203008,1.4160401002506267,1.5338345864661653,0.17293233082706766,0.0,0.6210253591261305,0.7496582230174916,0.6541683495929906,0.7126299481137406,0.0,63.06449460678421
Yugoslavia,483,223,98,162,942,756,186,767,73,0.4616977225672878,0.2028985507246377,0.33540372670807456,0.38509316770186336,1.950310559006211,1.565217391304348,1.587991718426501,0.15113871635610765,0.0,0.6742214420802319,0.725283567686752,0.6869046014920521,0.6155802123944143,0.0,63.020381694098226
Poland,890,384,224,282,1497,1197,300,1376,114,0.4314606741573034,0.251685393258427,0.31685393258426964,0.33707865168539325,1.6820224719101124,1.344943820224719,1.5460674157303371,0.12808988764044943,0.3137318785317594,0.6170077366603611,0.7103873330025541,0.6615627031293527,0.5129408480762423,0.3137318785317594,62.99112362347646
Serbia,346,155,89,102,530,374,156,554,43,0.4479768786127168,0.25722543352601157,0.2947976878612717,0.4508670520231214,1.5317919075144508,1.0809248554913296,1.6011560693641618,0.12427745664739884,0.05823881068843328,0.648259241223695,0.7456895469244611,0.6948620300482491,0.49596360821468805,0.05823881068843328,62.96948979088231
Tunisia,676,296,189,191,974,684,290,1077,84,0.4378698224852071,0.27958579881656803,0.28254437869822485,0.4289940828402367,1.4408284023668638,1.0118343195266273,1.5931952662721893,0.1242603550295858,0.11039849769947603,0.6291349495897771,0.7389035807371374,0.6900499795222259,0.49588745253654937,0.11039849769947603,62.81978695464646
Martinique,331,145,85,101,586,431,155,520,49,0.4380664652567976,0.256797583081571,0.30513595166163143,0.46827794561933533,1.770392749244713,1.3021148036253776,1.5709969788519638,0.14803625377643503,0.0,0.6295070315950766,0.7510911791513033,0.6766318256722679,0.6017645521312884,0.0,62.80398517148065
North Korea,390,162,106,122,628,435,193,592,55,0.4153846153846154,0.2717948717948718,0.3128205128205128,0.4948717948717949,1.6102564102564103,1.1153846153846154,1.5179487179487179,0.14102564102564102,0.0,0.5865890635656225,0.75934177194047,0.6445658508158507,0.5705454023385039,0.0,61.15495002994948
United States,788,350,161,277,1196,1044,152,1211,101,0.44416243654822335,0.20431472081218274,0.35152284263959394,0.19289340101522842,1.517766497461929,1.3248730964467006,1.5368020304568528,0.1281725888324873,0.2222974657996979,0.6410416596112309,0.6656546665054905,0.6559620744535806,0.5133091269976504,0.2222974657996979,60.67946076178262
Cameroon,616,271,192,153,866,640,226,1005,59,0.43993506493506496,0.3116883116883117,0.2483766233766234,0.36688311688311687,1.405844155844156,1.0389610389610389,1.6314935064935066,0.09577922077922078,0.0168179227663479,0.63304274414514,0.7196340014073758,0.713200039242782,0.3690573410987371,0.0168179227663479,60.66844672158048
Ukraine,336,151,94,91,472,356,116,547,31,0.4494047619047619,0.27976190476190477,0.2708333333333333,0.34523809523809523,1.4047619047619047,1.0595238095238095,1.6279761904761905,0.09226190476190477,0.0,0.650961042435815,0.712918754667032,0.7110739343516331,0.35339428574017195,0.0,60.30926766759963
Romania,764,334,194,236,1236,975,261,1196,96,0.43717277486910994,0.25392670157068065,0.3089005235602094,0.3416230366492147,1.617801047120419,1.2761780104712042,1.5654450261780104,0.1256544502617801,0.0,0.6278160153991688,0.7117972029863148,0.6732758480810003,0.5020955358277498,0.0,60.27550108614361
