team,main,main_rank,equal_weight,equal_weight_rank,performance_heavy,performance_heavy_rank,max_rank_shift
Brazil,100.0,1,100.0,1,100.0,1,0
Spain,91.46905426986264,2,90.67561545349045,2,92.6944142224265,2,0
Germany,90.53072976680006,3,90.12312155232796,3,91.21598733590335,4,1
England,89.49323677064636,4,88.292408097359,4,91.44851444739066,3,1
Netherlands,86.06214256958296,5,87.43175119326521,5,85.4439270314233,5,0
Argentina,83.35131979860758,6,82.24662690474777,6,84.90940164083109,6,0
Iran,78.39211822480469,7,74.11081624391096,8,83.21415460586968,7,1
Portugal,75.56576861020523,8,74.85944417290551,7,76.81596587461452,10,3
South Korea,74.98960666260857,9,71.80772217196252,10,78.82683079473509,8,2
Croatia,74.66968010265023,10,72.09967339189551,9,77.82885016036441,9,1
Russia,73.22053458073671,11,70.63163367428312,13,76.57869729728642,11,2
Sweden,73.01598247756671,12,71.67149467778144,11,74.93369689717613,16,5
Mexico,72.63913676839516,13,70.275214253643,15,75.52540170452403,14,2
Japan,72.61623776889165,14,71.15650815351384,12,74.61210078695066,17,5
France,72.21546845178187,15,70.5272058094616,14,74.04955390123207,18,4
Ivory Coast,72.17793010818201,16,69.86184319046056,16,75.0702842880948,15,1
Italy,72.09450976384684,17,68.25112184244172,18,76.57028455362652,12,6
Australia,71.95654636514772,18,68.40805489312763,17,76.26670141424859,13,5
Czech Republic,69.05652627485615,19,64.7405368528193,20,73.58823190031083,19,1
Morocco,67.49193212395919,20,63.92265372185708,21,71.97189985415822,20,1
China PR,66.54143126162452,21,63.09024761507255,23,70.76649562471137,21,2
Belgium,66.23295670213521,22,65.95407704968268,19,66.97460623525592,27,8
Senegal,65.74100868774522,23,63.606967867353895,22,68.63595867949563,24,2
Uzbekistan,65.44856927661561,24,62.226459901285544,25,69.24021944809049,22,3
Denmark,64.66131044857097,25,62.595468451901226,24,67.29643226195364,26,2
Ghana,64.28403754877472,26,61.45971299092541,26,68.00389015682651,25,1
Egypt,63.699556243464826,27,59.005038625311734,28,68.92350606249575,23,5
Uruguay,62.41474087466532,28,60.607662684405284,27,65.03887078576348,34,7
Nigeria,62.054945650295515,29,58.1709578450438,31,66.93891552836966,28,3
Hungary,61.98761615255416,30,58.4418497026995,30,66.13809656085569,31,1
Saudi Arabia,61.780010563746934,31,58.05102112112955,32,66.03889742231416,32,1
Costa Rica,61.35331553203297,32,58.60668883720774,29,65.20208377575648,33,4
Algeria,61.306316165763086,33,57.3787839531882,34,66.15897090759346,30,4
Iraq,60.98453713157734,34,56.59056140025239,38,66.54514583530128,29,9
South Africa,60.21649098200687,35,57.05024982831891,36,64.52774309586158,37,2
Czechoslovakia,60.207083675137504,36,56.63999302581835,37,64.54716399452224,35,2
Scotland,60.03663985425061,37,55.97145215040204,40,64.54083097139531,36,4
Poland,59.89860299448863,38,57.70288214712088,33,62.99112362347646,41,8
Suriname,59.108000696184895,39,56.10132235978036,39,63.06449460678421,39,0
Yugoslavia,59.02603423651228,40,55.37395634484156,41,63.020381694098226,40,1
Colombia,58.168236708627,41,57.26053310095859,35,60.11758465629071,50,15
Tunisia,58.146981191579414,42,54.60307575828585,43,62.81978695464646,43,1
Martinique,58.1243807585643,43,54.49282191168556,44,62.80398517148065,44,1
Serbia,58.10904007305213,44,54.16530378049216,45,62.96948979088231,42,3
Zambia,57.96340412738935,45,53.706106670112796,46,63.14041721811058,38,8
United States,57.86640759508249,46,55.29762053194093,42,60.67946076178262,46,4
North Korea,56.111720406174825,47,52.48540596760376,47,61.15495002994948,45,2
Trinidad and Tobago,55.588879772281985,48,52.123310299531056,49,59.806919594445375,51,3
Romania,55.48999724784137,49,51.54151446325036,52,60.27550108614361,49,3
Haiti,54.95662915145911,50,51.71839434831794,50,58.880561364975456,53,3
New Zealand,54.87675153261179,51,52.191375154996635,48,58.045815076521436,54,6
Cameroon,54.86038798923908,52,50.245641091026,53,60.66844672158048,47,6
Ukraine,54.60613306435484,53,49.76600426732978,56,60.30926766759963,48,8
Kuwait,54.03547261001298,54,49.92823201032517,55,59.371484848055346,52,3
Austria,53.669629609429904,55,50.02549963083378,54,57.901422962287356,55,1
Chile,52.57259159313124,56,51.544732627736614,51,54.29123470845073,63,12
Uganda,52.290179367282406,57,48.08809205484298,59,57.587393831605596,56,3
Malaysia,51.85554083942362,58,49.18320092281665,57,55.455705742470776,59,2
Qatar,51.2105726543812,59,47.43925008964282,61,55.81373259537351,57,4
DR Congo,50.613263165492384,60,46.74865453054544,64,55.80347682908564,58,6
Thailand,50.31511712112643,61,47.28039886417098,63,54.212726913847455,64,3
Myanmar,50.1617876965048,62,47.42393506282706,62,52.94498692284344,68,6
United Arab Emirates,49.89557499229097,63,46.11266224804239,65,54.58689972541404,62,3
Indonesia,49.870418465763485,64,47.4614168207214,60,52.84832611049824,69,9
Honduras,49.866775023376604,65,46.10492517004785,66,54.65157834016483,61,5
