dominance_rank,team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate,consistency_score,n_win_rate,n_avg_goal_diff,n_points_per_match,n_dominant_win_rate,n_consistency,dominance_index,dominance_label
1,Brazil,1057,670,216,171,2297,954,1343,2226,251,0.6338694418164617,0.2043519394512772,0.1617786187322611,1.2705771050141912,2.173131504257332,0.902554399243141,2.1059602649006623,0.2374645222327341,0.8795318268877091,1.0,1.0,1.0,1.0,0.8795318268877091,100.0,1. Brazil
2,Spain,781,460,181,140,1598,701,897,1561,165,0.58898847631242,0.2317541613316261,0.1792573623559539,1.148527528809219,2.0460947503201026,0.8975672215108835,1.998719590268886,0.2112676056338028,0.7288149857606777,0.9150774802986484,0.96213480253279,0.9351764465455392,0.8833418001417217,0.7288149857606777,91.46905426986264,2. Spain
3,Germany,1029,597,213,219,2314,1197,1117,2004,216,0.5801749271137027,0.2069970845481049,0.2128279883381924,1.085519922254616,2.248785228377065,1.163265306122449,1.9475218658892128,0.2099125364431487,0.7750620608773636,0.8984007266445965,0.9425870454793812,0.904229061754572,0.877307504774626,0.7750620608773636,90.53072976680006,3. Germany
4,England,1088,623,258,207,2377,1041,1336,2127,252,0.5726102941176471,0.2371323529411764,0.1902573529411764,1.2279411764705883,2.1847426470588234,0.9568014705882352,1.9549632352941175,0.2316176470588235,0.5547063214196695,0.8840871376336119,0.9867724419559633,0.9087271312515192,0.9739631215754492,0.5547063214196695,89.49323677064636,4. England
5,Netherlands,877,452,198,227,1839,1074,765,1554,172,0.5153933865450399,0.2257696693272519,0.2588369441277081,0.8722919042189282,2.096921322690992,1.224629418472064,1.7719498289623716,0.1961231470923603,1.0,0.7758228900619418,0.876434247087819,0.7981013880905038,0.8159016010403863,1.0,86.06214256958296,5. Netherlands
6,Argentina,1064,588,257,219,2016,1073,943,2021,183,0.5526315789473685,0.2415413533834586,0.2058270676691729,0.8862781954887218,1.894736842105263,1.0084586466165413,1.899436090225564,0.1719924812030075,0.7025855259633779,0.8462839662089043,0.8807734156227038,0.8751627503029267,0.7084446782608448,0.7025855259633779,83.35131979860758,6. Argentina
7,Iran,610,347,144,119,1150,482,668,1185,115,0.5688524590163935,0.2360655737704918,0.1950819672131147,1.095081967213115,1.8852459016393444,0.7901639344262295,1.942622950819672,0.1885245901639344,0.110398497699476,0.8769766661489488,0.9455536163746036,0.9012678244817776,0.7820642610830962,0.110398497699476,78.39211822480469,7. Iran
8,Portugal,693,347,159,187,1223,776,447,1200,119,0.5007215007215007,0.2294372294372294,0.2698412698412698,0.645021645021645,1.7647907647907648,1.1197691197691195,1.7316017316017316,0.1717171717171717,0.6178733822044886,0.7480611541252833,0.8059249220207934,0.7737122553754785,0.7072186901221176,0.6178733822044886,75.56576861020523,8. Portugal
9,South Korea,1005,536,252,217,1786,914,872,1860,168,0.5333333333333333,0.2507462686567164,0.2159203980099502,0.8676616915422886,1.7771144278606965,0.909452736318408,1.8507462686567164,0.1671641791044776,0.2864395999064469,0.8097683604291703,0.8749977495368427,0.8457313124460343,0.6869436352255196,0.2864395999064469,74.98960666260857,9. South Korea
10,Croatia,394,208,104,82,686,397,289,728,61,0.5279187817258884,0.2639593908629442,0.2081218274111675,0.733502538071066,1.7411167512690355,1.0076142131979695,1.8477157360406091,0.1548223350253807,0.4093445036977304,0.7995230958633752,0.83337562354363,0.8438994525317782,0.6319838346031161,0.4093445036977304,74.66968010265023,10. Croatia
