team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate
Elba Island,1,1,0,0,5,0,5,3,1,1.0,0.0,0.0,5.0,5.0,0.0,3.0,1.0
Surrey,1,1,0,0,3,1,2,3,0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0
Maule Sur,2,2,0,0,2,0,2,6,0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0
Asturias,1,1,0,0,3,1,2,3,0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,0.0
Yorkshire,7,5,1,1,27,11,16,16,3,0.7142857142857143,0.14285714285714285,0.14285714285714285,2.2857142857142856,3.857142857142857,1.5714285714285714,2.2857142857142856,0.42857142857142855
Canary Islands,4,3,0,1,11,3,8,9,2,0.75,0.0,0.25,2.0,2.75,0.75,2.25,0.5
Padania,44,30,8,6,120,33,87,98,11,0.6818181818181818,0.18181818181818182,0.13636363636363635,1.9772727272727273,2.727272727272727,0.75,2.227272727272727,0.25
Basque Country,58,38,11,9,156,76,80,125,13,0.6551724137931034,0.1896551724137931,0.15517241379310345,1.3793103448275863,2.689655172413793,1.3103448275862069,2.1551724137931036,0.22413793103448276
Andalusia,13,8,4,1,25,14,11,28,2,0.6153846153846154,0.3076923076923077,0.07692307692307693,0.8461538461538461,1.9230769230769231,1.0769230769230769,2.1538461538461537,0.15384615384615385
County of Nice,9,6,1,2,19,13,6,19,2,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.6666666666666666,2.111111111111111,1.4444444444444444,2.111111111111111,0.2222222222222222
Brazil,1057,670,216,171,2297,954,1343,2226,251,0.6338694418164617,0.2043519394512772,0.16177861873226113,1.2705771050141912,2.173131504257332,0.902554399243141,2.1059602649006623,0.23746452223273415
Jersey,235,153,20,62,645,285,360,479,68,0.6510638297872341,0.0851063829787234,0.26382978723404255,1.5319148936170213,2.74468085106383,1.2127659574468086,2.0382978723404257,0.28936170212765955
Biafra,3,2,0,1,2,1,1,6,0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,0.0
Franconia,3,2,0,1,8,11,-3,6,0,0.6666666666666666,0.0,0.3333333333333333,-1.0,2.6666666666666665,3.6666666666666665,2.0,0.0
Parishes of Jersey,3,2,0,1,11,4,7,6,1,0.6666666666666666,0.0,0.3333333333333333,2.3333333333333335,3.6666666666666665,1.3333333333333333,2.0,0.3333333333333333
Spain,781,460,181,140,1598,701,897,1561,165,0.58898847631242,0.23175416133162613,0.1792573623559539,1.148527528809219,2.0460947503201026,0.8975672215108835,1.9987195902688861,0.2112676056338028
Northern Cyprus,34,20,7,7,98,31,67,67,8,0.5882352941176471,0.20588235294117646,0.20588235294117646,1.9705882352941178,2.8823529411764706,0.9117647058823529,1.9705882352941178,0.23529411764705882
England,1088,623,258,207,2377,1041,1336,2127,252,0.5726102941176471,0.23713235294117646,0.19025735294117646,1.2279411764705883,2.1847426470588234,0.9568014705882353,1.9549632352941178,0.23161764705882354
Germany,1029,597,213,219,2314,1197,1117,2004,216,0.5801749271137027,0.20699708454810495,0.21282798833819241,1.0855199222546161,2.248785228377065,1.163265306122449,1.9475218658892128,0.2099125364431487
Rhodes,18,11,2,5,29,19,10,35,2,0.6111111111111112,0.1111111111111111,0.2777777777777778,0.5555555555555556,1.6111111111111112,1.0555555555555556,1.9444444444444444,0.1111111111111111
Iran,610,347,144,119,1150,482,668,1185,115,0.5688524590163935,0.2360655737704918,0.19508196721311474,1.0950819672131147,1.8852459016393444,0.7901639344262295,1.9426229508196722,0.1885245901639344
Kernow,12,7,2,3,32,19,13,23,4,0.5833333333333334,0.16666666666666666,0.25,1.0833333333333333,2.6666666666666665,1.5833333333333333,1.9166666666666667,0.3333333333333333
Guernsey,240,145,25,70,616,313,303,460,69,0.6041666666666666,0.10416666666666667,0.2916666666666667,1.2625,2.566666666666667,1.3041666666666667,1.9166666666666667,0.2875
Occitania,33,19,6,8,103,38,65,63,12,0.5757575757575758,0.18181818181818182,0.24242424242424243,1.9696969696969697,3.121212121212121,1.1515151515151516,1.9090909090909092,0.36363636363636365
Argentina,1064,588,257,219,2016,1073,943,2021,183,0.5526315789473685,0.24154135338345864,0.20582706766917294,0.8862781954887218,1.894736842105263,1.0084586466165413,1.8994360902255638,0.17199248120300753
Isle of Man,58,35,4,19,186,87,99,109,19,0.603448275862069,0.06896551724137931,0.3275862068965517,1.706896551724138,3.206896551724138,1.5,1.8793103448275863,0.3275862068965517
Italy,891,475,243,173,1563,876,687,1668,115,0.5331088664421998,0.2727272727272727,0.1941638608305275,0.7710437710437711,1.754208754208754,0.9831649831649831,1.872053872053872,0.12906846240179573
Cascadia,7,4,1,2,23,14,9,13,3,0.5714285714285714,0.14285714285714285,0.2857142857142857,1.2857142857142858,3.2857142857142856,2.0,1.8571428571428572,0.42857142857142855
South Korea,1005,536,252,217,1786,914,872,1860,168,0.5333333333333333,0.2507462686567164,0.21592039800995025,0.8676616915422886,1.7771144278606965,0.909452736318408,1.8507462686567164,0.16716417910447762
Croatia,394,208,104,82,686,397,289,728,61,0.5279187817258884,0.2639593908629442,0.20812182741116753,0.733502538071066,1.7411167512690355,1.0076142131979695,1.8477157360406091,0.1548223350253807
Ynys Môn,67,37,11,19,125,96,29,122,11,0.5522388059701493,0.16417910447761194,0.2835820895522388,0.43283582089552236,1.8656716417910448,1.4328358208955223,1.8208955223880596,0.16417910447761194
Artsakh,11,6,2,3,32,14,18,20,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,1.6363636363636365,2.909090909090909,1.2727272727272727,1.8181818181818181,0.2727272727272727
Kárpátalja,11,5,5,1,25,13,12,20,2,0.45454545454545453,0.45454545454545453,0.09090909090909091,1.0909090909090908,2.272727272727273,1.1818181818181819,1.8181818181818181,0.18181818181818182
Russia,746,383,197,166,1295,734,561,1346,121,0.5134048257372654,0.2640750670241287,0.2225201072386059,0.7520107238605898,1.7359249329758712,0.9839142091152815,1.804289544235925,0.16219839142091153
Crimea,5,3,0,2,7,11,-4,9,0,0.6,0.0,0.4,-0.8,1.4,2.2,1.8,0.0
Ivory Coast,635,324,162,149,1040,633,407,1134,94,0.510236220472441,0.2551181102362205,0.2346456692913386,0.6409448818897637,1.6377952755905512,0.9968503937007874,1.7858267716535432,0.14803149606299212
Czech Republic,358,189,72,97,636,366,270,639,62,0.5279329608938548,0.2011173184357542,0.2709497206703911,0.7541899441340782,1.776536312849162,1.0223463687150838,1.7849162011173185,0.17318435754189945
Corsica,9,4,4,1,10,5,5,16,0,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.5555555555555556,1.1111111111111112,0.5555555555555556,1.7777777777777777,0.0
Netherlands,877,452,198,227,1839,1074,765,1554,172,0.5153933865450399,0.22576966932725198,0.2588369441277081,0.8722919042189282,2.096921322690992,1.2246294184720639,1.7719498289623716,0.1961231470923603
Isle of Wight,48,26,7,15,113,60,53,85,11,0.5416666666666666,0.14583333333333334,0.3125,1.1041666666666667,2.3541666666666665,1.25,1.7708333333333333,0.22916666666666666
Mexico,1000,511,231,258,1759,1053,706,1764,154,0.511,0.231,0.258,0.706,1.759,1.053,1.764,0.154
Morocco,614,304,171,139,906,493,413,1083,87,0.495114006514658,0.2785016286644951,0.2263843648208469,0.6726384364820847,1.47557003257329,0.8029315960912052,1.763843648208469,0.14169381107491857
Tahiti,242,131,31,80,657,371,286,424,59,0.5413223140495868,0.128099173553719,0.3305785123966942,1.1818181818181819,2.7148760330578514,1.5330578512396693,1.7520661157024793,0.24380165289256198
Brittany,12,6,3,3,18,15,3,21,1,0.5,0.25,0.25,0.25,1.5,1.25,1.75,0.08333333333333333
