team,matches_played,wins,draws,losses,goals_scored,goals_conceded,total_goal_differential,points,dominant_wins,win_rate,draw_rate,loss_rate,avg_goal_diff,goals_scored_per_match,goals_conceded_per_match,points_per_match,dominant_win_rate
Netherlands,23,16,5,2,40,16,24,53,2,0.6956521739130435,0.21739130434782608,0.08695652173913043,1.0434782608695652,1.7391304347826086,0.6956521739130435,2.3043478260869565,0.08695652173913043
Brazil,34,23,5,6,64,30,34,74,7,0.6764705882352942,0.14705882352941177,0.17647058823529413,1.0,1.8823529411764706,0.8823529411764706,2.176470588235294,0.20588235294117646
Germany,34,23,4,7,70,27,43,73,7,0.6764705882352942,0.11764705882352941,0.20588235294117646,1.2647058823529411,2.0588235294117645,0.7941176470588235,2.1470588235294117,0.20588235294117646
Colombia,9,6,1,2,18,7,11,19,3,0.6666666666666666,0.1111111111111111,0.2222222222222222,1.2222222222222223,2.0,0.7777777777777778,2.111111111111111,0.3333333333333333
Belgium,19,12,3,4,29,18,11,39,2,0.631578947368421,0.15789473684210525,0.21052631578947367,0.5789473684210527,1.5263157894736843,0.9473684210526315,2.0526315789473686,0.10526315789473684
Argentina,31,18,7,6,52,32,20,61,3,0.5806451612903226,0.22580645161290322,0.1935483870967742,0.6451612903225806,1.6774193548387097,1.032258064516129,1.967741935483871,0.0967741935483871
France,32,18,8,6,50,27,23,62,3,0.5625,0.25,0.1875,0.71875,1.5625,0.84375,1.9375,0.09375
Spain,27,15,7,5,47,27,20,52,3,0.5555555555555556,0.25925925925925924,0.18518518518518517,0.7407407407407407,1.7407407407407407,1.0,1.9259259259259258,0.1111111111111111
Turkey,7,4,1,2,10,6,4,13,1,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.4285714285714286,0.8571428571428571,1.8571428571428572,0.14285714285714285
Chile,8,4,1,3,9,9,0,13,0,0.5,0.125,0.375,0.0,1.125,1.125,1.625,0.0
Uruguay,22,10,5,7,28,24,4,35,2,0.45454545454545453,0.22727272727272727,0.3181818181818182,0.18181818181818182,1.2727272727272727,1.0909090909090908,1.5909090909090908,0.09090909090909091
England,29,12,9,8,42,26,16,45,5,0.41379310344827586,0.3103448275862069,0.27586206896551724,0.5517241379310345,1.4482758620689655,0.896551724137931,1.5517241379310345,0.1724137931034483
Italy,17,7,5,5,23,15,8,26,1,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.47058823529411764,1.3529411764705883,0.8823529411764706,1.5294117647058822,0.058823529411764705
Switzerland,19,8,5,6,22,22,0,29,1,0.42105263157894735,0.2631578947368421,0.3157894736842105,0.0,1.1578947368421053,1.1578947368421053,1.5263157894736843,0.05263157894736842
Portugal,26,11,6,9,42,29,13,39,3,0.4230769230769231,0.23076923076923078,0.34615384615384615,0.5,1.6153846153846154,1.1153846153846154,1.5,0.11538461538461539
Republic of Ireland,4,1,3,0,6,3,3,6,1,0.25,0.75,0.0,0.75,1.5,0.75,1.5,0.25
Senegal,12,5,3,4,16,17,-1,18,0,0.4166666666666667,0.25,0.3333333333333333,-0.08333333333333333,1.3333333333333333,1.4166666666666667,1.5,0.0
Sweden,13,5,4,4,14,13,1,19,1,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.07692307692307693,1.0769230769230769,1.0,1.4615384615384615,0.07692307692307693
Ukraine,5,2,1,2,5,7,-2,7,1,0.4,0.2,0.4,-0.4,1.0,1.4,1.4,0.2
Mexico,23,9,5,9,23,26,-3,32,0,0.391304347826087,0.21739130434782608,0.391304347826087,-0.13043478260869565,1.0,1.1304347826086956,1.391304347826087,0.0
Croatia,23,8,8,7,32,28,4,32,3,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.17391304347826086,1.391304347826087,1.2173913043478262,1.391304347826087,0.13043478260869565
South Africa,6,2,2,2,8,10,-2,8,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.0
Ecuador,13,5,2,6,14,14,0,17,1,0.38461538461538464,0.15384615384615385,0.46153846153846156,0.0,1.0769230769230769,1.0769230769230769,1.3076923076923077,0.07692307692307693
Japan,22,7,6,9,24,29,-5,27,0,0.3181818181818182,0.2727272727272727,0.4090909090909091,-0.22727272727272727,1.0909090909090908,1.3181818181818181,1.2272727272727273,0.0
Denmark,14,4,5,5,12,16,-4,17,0,0.2857142857142857,0.35714285714285715,0.35714285714285715,-0.2857142857142857,0.8571428571428571,1.1428571428571428,1.2142857142857142,0.0
Morocco,10,3,3,4,8,9,-1,12,0,0.3,0.3,0.4,-0.1,0.8,0.9,1.2,0.0
