scorer_rank,scorer,team,goals,penalties,own_goals,first_goal_date,latest_goal_date,scorer_label
1,Cristiano Ronaldo,Portugal,121,21,0,2004-06-12,2025-10-14,1. Cristiano Ronaldo
2,Harry Kane,England,69,22,0,2015-03-27,2025-11-16,2. Harry Kane
3,Robert Lewandowski,Poland,69,14,0,2008-09-10,2026-03-26,3. Robert Lewandowski
4,Romelu Lukaku,Belgium,64,7,0,2013-10-11,2025-06-09,4. Romelu Lukaku
5,Lionel Messi,Argentina,63,14,0,2006-06-16,2025-09-04,5. Lionel Messi
6,Edin Džeko,Bosnia and Herzegovina,58,2,0,2007-06-02,2026-03-26,6. Edin Džeko
7,Aleksandar Mitrović,Serbia,52,4,0,2013-09-06,2025-10-14,7. Aleksandar Mitrović
8,Ali Daei,Iran,49,8,0,1993-06-25,2005-08-17,8. Ali Daei
9,Miroslav Klose,Germany,48,0,0,2001-03-24,2014-07-08,9. Miroslav Klose
10,Luis Suárez,Uruguay,47,9,0,2007-10-13,2024-07-13,10. Luis Suárez
